Years;Stress;Genotypes;Env;Rep;IBLOCK;CAN;NDF;PH;CH;GFD;GY
2019;DI;06N6_59;2019DI;1;2;29.5;86;98;31.4;25;2.72
2019;DI;06N6_84;2019DI;1;2;28.4;85;99;30.65;26;3.12
2019;DI;06WA_53;2019DI;1;2;29.6;86;114;33.25;25;4.16
2019;DI;07BA_16;2019DI;1;2;29.9;87;104;29.9;27;2.88
2019;DI;07BA_22;2019DI;1;2;33.8;86;97;31.15;27;2.96
2019;DI;07MN_41;2019DI;1;2;31.7;85;88;33.9;27;2.48
2019;DI;07MN_93;2019DI;1;2;33.7;87;99;29.9;27;3.28
2019;DI;07MN_96;2019DI;1;2;32.4;87;95;31.5;25;2.88
2019;DI;07MT_40;2019DI;1;2;30.7;87;103;32.5;27;3.52
2019;DI;07N2_31;2019DI;1;2;30.1;88;103;32.25;27;3.52
2019;DI;07N2_61;2019DI;1;2;30.6;89;112;31.4;29;3.36
2019;DI;07N6_80;2019DI;1;2;34;85;98;30.15;26;2.96
2019;DI;07UT_30;2019DI;1;2;33;90;104;31.4;25;3.28
2019;DI;07UT_83;2019DI;1;2;34;89;103;31.5;26;4
2019;DI;07UT_86;2019DI;1;2;30.3;86;113;33.4;26;3.36
2019;DI;07WA_06;2019DI;1;2;32.2;87;102;31.75;25;3.84
2019;DI;08AB_93;2019DI;1;2;29.3;86;100;29.65;25;2.8
2019;DI;08BA_13;2019DI;1;2;30.5;85;100;35;26;4.08
2019;DI;08BA_51;2019DI;1;2;32.8;87;96;33;25;2.72
2019;DI;08BA_64;2019DI;1;2;33;87;96;32.75;27;3.2
2019;DI;08BA_76;2019DI;1;2;29.1;87;98;32.75;26;3.76
2019;DI;08BA_82;2019DI;1;2;27.6;88;107;34.5;26;3.84
2019;DI;08MN_30;2019DI;1;2;33;87;93;34.4;27;2.96
2019;DI;08N2_66;2019DI;1;2;31;87;112;31.5;28;3.6
2019;DI;08N6_88;2019DI;1;2;31.3;86;102;30;25;3.28
2019;DI;08N6_94;2019DI;1;2;31.6;87;99;29;27;2.56
2019;DI;09AB_29;2019DI;1;2;30.6;86;108;32;25;3.2
2019;DI;09BA_89;2019DI;1;2;30.7;88;104;33.75;26;4.16
2019;DI;09N2_04;2019DI;1;2;31.8;88;100;30.5;28;4.24
2019;DI;09N2_12;2019DI;1;2;30.5;87;93;31.65;27;3.68
2019;DI;09N2_29;2019DI;1;2;31.1;88;103;29.15;27;3.2
2019;DI;09N6_61;2019DI;1;2;33.5;89;105;32.9;27;3.04
2019;DI;09UT_59;2019DI;1;2;33.9;87;95;30.15;27;4.24
2019;DI;09WA_64;2019DI;1;2;32.1;88;111;32;25;3.84
2019;DI;09WA_82;2019DI;1;2;30;88;106;34.15;27;3.52
2019;DI;06AB_15;2019DI;1;3;32.1;87;100;32.75;27;3.68
2019;DI;06MN_63;2019DI;1;3;33;87;93;32.15;26;2.8
2019;DI;06MT_31;2019DI;1;3;31.5;87;101;32.75;27;3.68
2019;DI;06N2_85;2019DI;1;3;31.8;88;104;32;27;3.44
2019;DI;06N2_93;2019DI;1;3;30.1;88;102;33.75;28;3.6
2019;DI;06N6_42;2019DI;1;3;30.5;86;100;30.9;26;2.8
2019;DI;06N6_76;2019DI;1;3;27.5;85;97;30.25;25;2.24
2019;DI;06N6_94;2019DI;1;3;30.1;86;100;28.5;26;3.2
2019;DI;06WA_38;2019DI;1;3;29.4;87;117;32.5;26;3.84
2019;DI;06WA_63;2019DI;1;3;32.4;87;112;30.15;25;3.36
2019;DI;07AB_66;2019DI;1;3;33.9;91;115;28.65;25;4
2019;DI;07BA_11;2019DI;1;3;32.8;85;95;32.15;26;2.96
2019;DI;07BA_89;2019DI;1;3;29.4;88;108;32.9;25;3.68
2019;DI;07N2_02;2019DI;1;3;28.5;88;103;33.15;27;2.96
2019;DI;07N2_08;2019DI;1;3;30.1;87;101;29.4;27;3.84
2019;DI;07N2_38;2019DI;1;3;33.5;89;106;31.9;27;3.76
2019;DI;07N2_43;2019DI;1;3;29.6;87;101;30;27;3.28
2019;DI;07N6_48;2019DI;1;3;34.5;86;101;31.75;28;2.96
2019;DI;07UT_93;2019DI;1;3;33.9;88;112;30.5;27;4.32
2019;DI;08AB_46;2019DI;1;3;29.5;89;111;33.15;26;4.24
2019;DI;08AB_67;2019DI;1;3;32.9;88;98;33.65;27;3.2
2019;DI;08BA_14;2019DI;1;3;30.5;86;106;32.5;26;3.12
2019;DI;08MN_14;2019DI;1;3;32.2;86;96;32.5;27;2.72
2019;DI;08MN_67;2019DI;1;3;32.3;87;95;29.9;26;2.56
2019;DI;08MT_04;2019DI;1;3;28.2;88;101;33.65;26;3.92
2019;DI;08MT_10;2019DI;1;3;32.5;87;109;32.25;28;4
2019;DI;08MT_61;2019DI;1;3;32.1;87;113;33.4;26;3.2
2019;DI;08MT_63;2019DI;1;3;27.7;88;104;34.25;27;4.08
2019;DI;08MT_71;2019DI;1;3;33.4;88;110;31.4;26;3.36
2019;DI;08N2_18;2019DI;1;3;32.3;86;100;33;26;2.88
2019;DI;08N6_90;2019DI;1;3;33.9;87;111;33.15;27;3.44
2019;DI;08UT_16;2019DI;1;3;34.4;85;106;32.65;26;3.68
2019;DI;08UT_80;2019DI;1;3;29.3;87;109;31.65;26;2.96
2019;DI;08WA_11;2019DI;1;3;30.6;88;110;28.9;24;3.92
2019;DI;08WA_40;2019DI;1;3;31;88;111;32.15;27;4.32
2019;DI;09MN_08;2019DI;1;3;33.2;88;100;32.5;26;2.4
2019;DI;09MN_19;2019DI;1;3;34.2;87;99;29.65;26;2.48
2019;DI;09MT_75;2019DI;1;3;31.3;86;110;31.65;28;4.24
2019;DI;09N6_73;2019DI;1;3;32.2;87;106;32.4;27;4.4
2019;DI;09UT_44;2019DI;1;3;34.1;87;111;31.15;27;4.16
2019;DI;09UT_47;2019DI;1;3;31.2;88;103;31;26;3.12
2019;DI;09WA_39;2019DI;1;3;30.7;88;104;34.15;26;3.76
2019;DI;09WA_52;2019DI;1;3;32.9;87;109;33;25;3.92
2019;DI;06AB_24;2019DI;1;4;30.6;86;109;29.9;26;3.36
2019;DI;06MN_38;2019DI;1;4;32.7;87;95;32.5;26;2.64
2019;DI;06MT_01;2019DI;1;4;31.5;87;105;31.9;25;4.16
2019;DI;06MT_69;2019DI;1;4;29.1;89;111;32.65;27;3.6
2019;DI;06N2_06;2019DI;1;4;32.2;89;109;30.9;27;3.68
2019;DI;06N2_16;2019DI;1;4;30.6;87;103;30.25;25;3.04
2019;DI;06N2_66;2019DI;1;4;30;89;98;31.65;28;3.2
2019;DI;06N2_94;2019DI;1;4;31.4;89;114;33.5;26;3.44
2019;DI;06N6_26;2019DI;1;4;32.3;86;98;29.5;27;3.44
2019;DI;06N6_38;2019DI;1;4;33.3;87;96;30;25;2.8
2019;DI;06N6_69;2019DI;1;4;30;84;94;31.5;25;2.8
2019;DI;07AB_14;2019DI;1;4;31.8;86;110;31.4;26;3.36
2019;DI;07AB_17;2019DI;1;4;30.8;86;99;31.15;25;2.64
2019;DI;07MN_02;2019DI;1;4;32.9;87;101;29.75;26;2.96
2019;DI;07MN_42;2019DI;1;4;33.3;87;90;32.25;26;2.56
2019;DI;07N6_51;2019DI;1;4;33.5;86;98;29.5;26;2.8
2019;DI;07N6_69;2019DI;1;4;30.5;86;106;30.65;25;2.48
2019;DI;07UT_74;2019DI;1;4;33.1;87;108;31.65;25;2.88
2019;DI;07UT_96;2019DI;1;4;29.8;85;95;31.15;24;2.56
2019;DI;08AB_09;2019DI;1;4;30.2;89;115;33.4;26;4.24
2019;DI;08AB_24;2019DI;1;4;30.6;87;104;33;28;3.84
2019;DI;08BA_43;2019DI;1;4;31.8;86;99;31.5;27;3.2
2019;DI;08BA_47;2019DI;1;4;30.4;85;97;32.75;25;3.2
2019;DI;08BA_58;2019DI;1;4;34.5;87;99;31.65;28;3.2
2019;DI;08BA_87;2019DI;1;4;29.4;85;101;34.15;25;3.28
2019;DI;08MN_78;2019DI;1;4;31.4;86;98;31.75;27;2.48
2019;DI;08MT_41;2019DI;1;4;30.7;89;113;34.15;28;4.08
2019;DI;08N6_02;2019DI;1;4;31.5;86;105;30.75;26;2.96
2019;DI;08N6_64;2019DI;1;4;30.6;87;105;31.5;28;3.28
2019;DI;08WA_25;2019DI;1;4;31.7;85;109;32.75;23;4
2019;DI;08WA_86;2019DI;1;4;32.4;89;120;34.4;25;3.84
2019;DI;08WA_90;2019DI;1;4;29.9;85;114;32.9;25;3.84
2019;DI;09AB_62;2019DI;1;4;31.7;90;109;31.9;27;3.52
2019;DI;09BA_36;2019DI;1;4;32.1;86;97;30.25;26;2.48
2019;DI;09BA_37;2019DI;1;4;30;85;102;30.75;25;2.8
2019;DI;09BA_56;2019DI;1;4;31;87;96;31.75;26;2.72
2019;DI;09BA_95;2019DI;1;4;32.5;90;115;33.4;26;4
2019;DI;09MN_14;2019DI;1;4;32.8;87;100;32.9;27;3.04
2019;DI;09MT_94;2019DI;1;4;30.3;87;118;33;26;3.44
2019;DI;09N2_18;2019DI;1;4;29.6;88;107;32.4;27;3.6
2019;DI;09N2_55;2019DI;1;4;31.1;85;97;29.15;29;3.28
2019;DI;09N6_63;2019DI;1;4;31.9;87;104;31.4;27;2.56
2019;DI;09UT_14;2019DI;1;4;29;86;104;29.9;27;2.72
2019;DI;06MN_28;2019DI;1;5;32.2;88;99;31.5;27;3.12
2019;DI;06MN_80;2019DI;1;5;32.1;87;95;32.4;28;2.56
2019;DI;06N6_34;2019DI;1;5;29.9;86;105;32.25;26;2.96
2019;DI;06WA_57;2019DI;1;5;33;87;115;32.15;24;4
2019;DI;07AB_13;2019DI;1;5;35;85;100;31.9;27;2.96
2019;DI;07AB_33;2019DI;1;5;32.1;85;104;33.65;28;3.84
2019;DI;07BA_45;2019DI;1;5;32.6;86;99;32;27;2.4
2019;DI;07MN_11;2019DI;1;5;33.4;87;97;31.9;28;3.04
2019;DI;07MN_20;2019DI;1;5;32;87;94;31.25;25;2.72
2019;DI;07MN_35;2019DI;1;5;30;85;83;30.25;26;2.8
2019;DI;07MN_94;2019DI;1;5;33.1;87;106;30.9;26;3.28
2019;DI;07MT_50;2019DI;1;5;33.4;88;109;32.15;25;4.56
2019;DI;07N2_50;2019DI;1;5;29.8;87;99;33;27;2.64
2019;DI;07N6_11;2019DI;1;5;31.4;86;99;31;26;3.2
2019;DI;07UT_48;2019DI;1;5;31.9;86;122;32.4;27;4.4
2019;DI;07UT_55;2019DI;1;5;30.7;88;122;33.25;26;4.16
2019;DI;07UT_92;2019DI;1;5;30.9;85;111;33.4;27;3.12
2019;DI;07WA_16;2019DI;1;5;32.8;88;111;32.15;25;4.08
2019;DI;07WA_29;2019DI;1;5;32.4;86;104;32.15;24;3.84
2019;DI;08AB_49;2019DI;1;5;32.5;86;100;34;26;3.84
2019;DI;08MN_34;2019DI;1;5;31.9;87;98;30.5;27;2.48
2019;DI;08MN_68;2019DI;1;5;34.2;87;104;32.25;27;2.72
2019;DI;08MT_74;2019DI;1;5;32.9;87;110;31;26;3.68
2019;DI;08MT_91;2019DI;1;5;31.2;86;113;31.75;28;3.52
2019;DI;08N2_35;2019DI;1;5;33.4;89;103;33;28;3.6
2019;DI;08N6_56;2019DI;1;5;30.7;88;100;30.65;26;3.12
2019;DI;08N6_70;2019DI;1;5;32.3;86;98;31.5;27;3.12
2019;DI;08UT_07;2019DI;1;5;32.5;86;101;32.5;26;3.52
2019;DI;08UT_10;2019DI;1;5;33.4;86;100;30.25;25;3.76
2019;DI;08UT_56;2019DI;1;5;32.7;87;106;33.4;26;4.48
2019;DI;09AB_15;2019DI;1;5;33.1;88;112;32;25;3.28
2019;DI;09AB_25;2019DI;1;5;31.8;90;111;32.15;26;3.84
2019;DI;09MN_42;2019DI;1;5;32.7;86;100;32;27;2.72
2019;DI;09MN_70;2019DI;1;5;33.4;85;96;32.75;27;2.48
2019;DI;09MT_08;2019DI;1;5;30.3;87;103;29.5;26;4.08
2019;DI;09N2_06;2019DI;1;5;31.6;88;105;32.9;28;4.4
2019;DI;09N2_24;2019DI;1;5;30.9;88;102;30.15;27;2.88
2019;DI;09N2_74;2019DI;1;5;31;89;114;31.9;27;3.6
2019;DI;09N6_21;2019DI;1;5;29.7;86;98;31.9;25;2.88
2019;DI;09N6_69;2019DI;1;5;29.8;86;95;30.4;26;2.56
2019;DI;09UT_01;2019DI;1;5;34;87;102;32.15;26;3.76
2019;DI;09UT_89;2019DI;1;5;33.3;86;91;32.65;27;2.88
2019;DI;09UT_96;2019DI;1;5;32.9;85;95;28.9;27;3.04
2019;DI;06AB_41;2019DI;1;6;30.7;88;107;32;25;3.68
2019;DI;06AB_84;2019DI;1;6;32.1;86;100;31.15;26;3.36
2019;DI;06MN_25;2019DI;1;6;33.4;87;98;32.75;27;2.96
2019;DI;06MN_88;2019DI;1;6;33.3;88;97;31.15;27;2.64
2019;DI;06MT_29;2019DI;1;6;29.4;87;105;32.65;26;3.84
2019;DI;06WA_77;2019DI;1;6;30.2;86;108;31.4;24;3.2
2019;DI;07AB_27;2019DI;1;6;32.3;84;100;32.4;26;2.32
2019;DI;07BA_24;2019DI;1;6;33.8;88;100;30.9;27;2.96
2019;DI;07BA_41;2019DI;1;6;33.4;85;100;30.75;27;4.16
2019;DI;07MN_82;2019DI;1;6;32.5;86;93;31.65;27;2.96
2019;DI;07MN_90;2019DI;1;6;33.1;87;97;29;26;2.96
2019;DI;07MT_10;2019DI;1;6;31.2;87;101;33.75;27;3.92
2019;DI;07N2_13;2019DI;1;6;31.6;89;112;31.65;28;3.44
2019;DI;07N2_75;2019DI;1;6;31.2;87;108;29.75;27;3.12
2019;DI;07N6_60;2019DI;1;6;32.1;86;111;32.9;25;2.8
2019;DI;07N6_94;2019DI;1;6;33.9;85;106;31.15;25;2.8
2019;DI;07UT_44;2019DI;1;6;30.2;89;108;32.5;25;3.12
2019;DI;07UT_56;2019DI;1;6;31.6;85;113;31.25;27;3.68
2019;DI;07UT_87;2019DI;1;6;30.1;87;111;33.25;28;3.92
2019;DI;08AB_20;2019DI;1;6;30.8;87;108;33.65;27;3.2
2019;DI;08AB_45;2019DI;1;6;32.3;87;110;33.4;27;3.92
2019;DI;08BA_44;2019DI;1;6;33.2;87;94;30.65;27;3.76
2019;DI;08BA_60;2019DI;1;6;31.3;86;96;29.75;26;2.8
2019;DI;08BA_95;2019DI;1;6;30;86;110;34.15;25;4.08
2019;DI;08MT_25;2019DI;1;6;32.4;87;105;35;26;4.72
2019;DI;08MT_69;2019DI;1;6;31.4;87;105;33.75;28;3.52
2019;DI;08N6_18;2019DI;1;6;29.4;87;107;31.75;24;3.04
2019;DI;08N6_35;2019DI;1;6;28.5;84;101;32;25;2.48
2019;DI;08N6_38;2019DI;1;6;28.9;85;101;31.5;26;2.88
2019;DI;08N6_77;2019DI;1;6;32.1;85;95;29.4;26;2.88
2019;DI;08N6_96;2019DI;1;6;29.9;85;105;31.25;25;2.96
2019;DI;09AB_89;2019DI;1;6;34;89;116;32.25;26;4.32
2019;DI;09BA_21;2019DI;1;6;27.8;87;111;32;24;4.16
2019;DI;09BA_94;2019DI;1;6;31.7;88;110;33.5;27;4.48
2019;DI;09MN_57;2019DI;1;6;32.4;86;95;31.15;26;2.56
2019;DI;09MT_02;2019DI;1;6;32.7;89;112;30.5;27;4.32
2019;DI;09N2_02;2019DI;1;6;33.2;89;105;33.5;28;4
2019;DI;09N2_21;2019DI;1;6;29.4;88;110;34.65;26;3.44
2019;DI;09N2_82;2019DI;1;6;28.9;87;100;31.5;25;3.36
2019;DI;09N6_90;2019DI;1;6;34.1;85;103;31.75;26;3.44
2019;DI;09UT_05;2019DI;1;6;31.3;86;104;29.65;25;3.2
2019;DI;09WA_15;2019DI;1;6;32.8;87;110;30;26;3.52
2019;DI;09WA_55;2019DI;1;6;32;88;105;32.25;25;3.28
2019;DI;06AB_68;2019DI;1;7;33.8;86;100;34.65;25;3.52
2019;DI;06AB_71;2019DI;1;7;32.3;86;89;30;28;2.8
2019;DI;06BA_06;2019DI;1;7;32.8;87;103;32.5;28;2.72
2019;DI;06MN_01;2019DI;1;7;32.4;87;99;32.25;28;2.24
2019;DI;06MN_18;2019DI;1;7;33.9;87;98;31.15;26;2.56
2019;DI;06MN_21;2019DI;1;7;33.4;88;104;32.65;26;4.32
2019;DI;06MT_20;2019DI;1;7;32.2;88;113;32.25;27;3.76
2019;DI;06MT_67;2019DI;1;7;30.4;86;92;29.9;28;3.6
2019;DI;06N2_70;2019DI;1;7;31.1;87;104;30.75;28;3.68
2019;DI;06N6_33;2019DI;1;7;33.6;88;104;31.65;27;3.2
2019;DI;06N6_66;2019DI;1;7;29.7;86;97;30.15;26;2.4
2019;DI;07AB_53;2019DI;1;7;32.4;90;114;31.15;26;4.16
2019;DI;07AB_93;2019DI;1;7;31.9;88;112;30.75;26;4.8
2019;DI;07BA_27;2019DI;1;7;34.5;86;101;31.9;27;3.68
2019;DI;07BA_52;2019DI;1;7;30.2;88;101;32.9;27;3.52
2019;DI;07BA_80;2019DI;1;7;30.6;89;110;33.5;27;4.08
2019;DI;07MN_13;2019DI;1;7;31.6;87;98;30.75;27;2.48
2019;DI;07MN_88;2019DI;1;7;32.1;87;94;31.65;26;2.64
2019;DI;07MT_43;2019DI;1;7;32.6;86;111;31.25;28;4.16
2019;DI;07MT_94;2019DI;1;7;31.5;86;105;31.25;28;3.92
2019;DI;07N6_57;2019DI;1;7;32.9;87;98;31.15;27;3.28
2019;DI;07N6_68;2019DI;1;7;32.3;86;101;29.9;26;2.56
2019;DI;07UT_02;2019DI;1;7;32.6;86;104;32;27;4.32
2019;DI;07UT_31;2019DI;1;7;31.1;89;106;30.9;26;3.04
2019;DI;07UT_71;2019DI;1;7;31.7;87;108;33.75;27;4.16
2019;DI;08AB_06;2019DI;1;7;28.8;89;106;34;26;3.84
2019;DI;08BA_30;2019DI;1;7;29.1;85;101;31.5;26;3.36
2019;DI;08MT_77;2019DI;1;7;30;87;109;33.65;26;4.16
2019;DI;08N2_80;2019DI;1;7;30.3;88;106;31.25;28;3.36
2019;DI;08N6_05;2019DI;1;7;34.1;86;97;32.25;27;3.28
2019;DI;08N6_52;2019DI;1;7;31.6;85;103;31.5;27;3.36
2019;DI;08N6_93;2019DI;1;7;33.3;84;94;30.65;26;3.6
2019;DI;08UT_54;2019DI;1;7;31.8;84;102;33;25;3.52
2019;DI;09AB_82;2019DI;1;7;30.3;87;105;35;24;3.92
2019;DI;09AB_94;2019DI;1;7;35.5;89;114;33;27;4.72
2019;DI;09BA_51;2019DI;1;7;35.5;86;105;30.9;26;3.12
2019;DI;09MN_82;2019DI;1;7;30.9;87;98;32.25;26;2.4
2019;DI;09MT_78;2019DI;1;7;31.4;88;113;31.9;26;3.6
2019;DI;09N6_36;2019DI;1;7;31.4;86;104;32.4;25;2.8
2019;DI;09UT_33;2019DI;1;7;31;86;117;32.5;26;3.6
2019;DI;09UT_35;2019DI;1;7;32.4;85;116;32.65;26;3.84
2019;DI;09WA_71;2019DI;1;7;30;86;108;32.9;25;3.68
2019;DI;GIZA136;2019DI;1;7;28.6;75;93;36.85;22;1.92
2019;DI;06AB_08;2019DI;1;8;29.4;89;109;33.65;27;3.6
2019;DI;06MN_51;2019DI;1;8;33.8;87;92;32.4;27;3.04
2019;DI;06MN_62;2019DI;1;8;32.8;86;96;32.25;27;2.72
2019;DI;06N2_37;2019DI;1;8;29.6;88;104;31.15;26;3.04
2019;DI;06N2_39;2019DI;1;8;31.5;88;113;31.9;28;4.24
2019;DI;06N2_63;2019DI;1;8;31.9;87;102;31.65;28;3.76
2019;DI;06N6_62;2019DI;1;8;34.1;88;108;31.25;28;3.76
2019;DI;06N6_95;2019DI;1;8;30.8;86;99;31.15;25;2.8
2019;DI;06WA_93;2019DI;1;8;29.9;87;114;32.75;28;3.92
2019;DI;07BA_14;2019DI;1;8;33.5;85;102;30.75;27;3.36
2019;DI;07BA_64;2019DI;1;8;29.2;86;106;33.4;26;3.92
2019;DI;07BA_84;2019DI;1;8;30;87;106;33.25;26;4.16
2019;DI;07MN_33;2019DI;1;8;32.3;87;97;29.75;26;2.96
2019;DI;07N2_84;2019DI;1;8;29.8;88;104;34.15;26;3.28
2019;DI;07UT_14;2019DI;1;8;31.8;86;113;32.65;25;3.6
2019;DI;08AB_54;2019DI;1;8;31.6;88;99;32;26;2.8
2019;DI;08BA_02;2019DI;1;8;34.5;87;108;32.75;28;3.84
2019;DI;08MN_41;2019DI;1;8;31;88;99;32.5;28;2.96
2019;DI;08MN_49;2019DI;1;8;32.6;87;92;31.5;27;2.48
2019;DI;08MN_88;2019DI;1;8;34;86;93;31.75;28;2.64
2019;DI;08MT_17;2019DI;1;8;33.3;88;107;31.4;27;4.4
2019;DI;08MT_68;2019DI;1;8;32.2;88;116;32.5;26;4.64
2019;DI;08MT_84;2019DI;1;8;31.3;87;113;31.4;27;3.04
2019;DI;08N6_21;2019DI;1;8;31.1;85;98;32.5;26;2.4
2019;DI;08UT_24;2019DI;1;8;34.4;87;103;30.75;26;3.28
2019;DI;08UT_79;2019DI;1;8;32.3;88;114;33;28;4.32
2019;DI;08WA_57;2019DI;1;8;30.9;88;114;30.4;25;3.84
2019;DI;09AB_10;2019DI;1;8;32;87;108;35;26;4.56
2019;DI;09AB_48;2019DI;1;8;32.4;87;106;32.5;26;3.2
2019;DI;09AB_66;2019DI;1;8;32.3;88;103;33.65;26;4
2019;DI;09BA_40;2019DI;1;8;29.6;85;98;29.25;25;2.4
2019;DI;09MN_04;2019DI;1;8;30.4;85;96;29.15;27;2.64
2019;DI;09MN_50;2019DI;1;8;31.9;87;100;31.4;27;2.56
2019;DI;09MT_16;2019DI;1;8;31.6;88;110;31.15;28;4
2019;DI;09N2_16;2019DI;1;8;32.2;87;113;33.4;28;3.68
2019;DI;09N2_33;2019DI;1;8;30.9;87;109;32.25;27;2.96
2019;DI;09N2_39;2019DI;1;8;31;87;109;28.75;27;3.6
2019;DI;09N2_73;2019DI;1;8;31.6;89;106;30.75;26;2.8
2019;DI;09N6_33;2019DI;1;8;29;85;103;32.65;24;2.88
2019;DI;09UT_13;2019DI;1;8;30.4;84;103;30.9;25;2.56
2019;DI;09WA_19;2019DI;1;8;32.2;89;109;30.65;25;4.16
2019;DI;GIZA127;2019DI;1;8;27.8;77;94;35.55;22;3.6
2019;DI;GIZA134;2019DI;1;8;27.75;78;95;35.5;22;3.92
2019;DI;06AB_55;2019DI;1;9;32.3;86;103;31.5;26;2.88
2019;DI;06AB_58;2019DI;1;9;30.7;86;114;32.25;26;3.28
2019;DI;06AB_89;2019DI;1;9;31.4;86;97;30.9;27;2.48
2019;DI;06BA_16;2019DI;1;9;31.4;85;91;30.5;27;2.64
2019;DI;06BA_30;2019DI;1;9;30.4;87;97;30.65;27;3.04
2019;DI;06MN_33;2019DI;1;9;33.7;87;92;32;26;2.88
2019;DI;06MN_81;2019DI;1;9;32.9;86;97;30.4;26;2.88
2019;DI;06MT_49;2019DI;1;9;29;87;100;32.75;24;3.92
2019;DI;06MT_82;2019DI;1;9;32.3;87;111;32.75;25;4.32
2019;DI;06N6_90;2019DI;1;9;31.1;84;97;29.75;26;2.48
2019;DI;06WA_42;2019DI;1;9;30.8;87;110;33.15;26;4.4
2019;DI;07AB_03;2019DI;1;9;33.7;86;107;31.15;26;3.12
2019;DI;07AB_10;2019DI;1;9;31.3;85;99;33.25;25;2.48
2019;DI;07AB_37;2019DI;1;9;34.5;86;100;32.5;28;3.36
2019;DI;07AB_77;2019DI;1;9;34.7;89;108;30.65;27;4.64
2019;DI;07BA_18;2019DI;1;9;33.2;86;93;31.15;26;2.8
2019;DI;07MT_17;2019DI;1;9;29.8;85;108;29.15;26;3.6
